farmer_id,name,mobile,aadhar,state,district,village,latitude,longitude,land_area,crop_type,last_year_yield_est,ndvi_mean,ndvi_trend,rainfall_anomaly_3mo,past_kcc_defaults,upi_txn_freq,market_price_volatility,fpo_membership_flag,distance_to_mandi_km,consent_given,created_at
FRM000029,Farmer 29,+910614772625,6765 2202 9135,Haryana,District 10,Village 64,22.540806,75.018765,9.12,cotton,23.79,0.624,0.055,-4.8,0,31,16.6,0,37.9,True,2025-11-10T12:54:34.462166
FRM000030,Farmer 30,+910553737743,3891 4756 5225,Karnataka,District 19,Village 36,26.43688,83.397953,5.21,cotton,21.32,0.615,0.149,25.2,0,26,23.6,0,29.4,True,2025-02-06T12:54:34.462618
FRM000031,Farmer 31,+917334747909,7024 6109 5146,Uttar Pradesh,District 14,Village 40,22.58833,79.948905,6.19,wheat,27.2,0.827,-0.047,-27.3,0,25,28.7,0,30.1,True,2025-02-01T12:54:34.462971
FRM000032,Farmer 32,+919823895161,9666 9609 7490,Uttar Pradesh,District 17,Village 43,18.083697,82.241269,4.78,wheat,9.07,0.842,0.102,-37.5,0,39,20.2,0,37.7,True,2024-11-26T12:54:34.463316
FRM000033,Farmer 33,+910355706062,9058 1951 9914,Uttar Pradesh,District 17,Village 45,17.67054,84.493914,2.86,cotton,10.07,0.391,-0.14,-18.9,0,42,20.8,0,33.8,True,2025-02-12T12:54:34.463651
FRM000034,Farmer 34,+919921066167,1832 6954 9519,Uttar Pradesh,District 15,Village 67,16.13255,81.792201,1.12,maize,4.74,0.549,0.007,-5.9,0,37,24.1,0,18.0,True,2025-10-05T12:54:34.463978
FRM000035,Farmer 35,+919606422311,7852 7035 4594,Maharashtra,District 10,Village 2,19.859851,73.130025,2.76,rice,5.11,0.434,0.067,35.6,0,3,28.6,0,21.5,True,2025-05-14T12:54:34.464329
FRM000036,Farmer 36,+910120871868,6877 2301 3541,Maharashtra,District 4,Village 26,29.78051,78.123851,8.39,cotton,22.72,0.726,-0.041,36.1,0,21,24.5,0,29.2,True,2025-10-27T12:54:34.464668
FRM000037,Farmer 37,+918571846909,4028 8643 3681,Haryana,District 14,Village 64,16.598681,73.820241,3.09,rice,4.83,0.803,-0.115,7.7,0,16,15.1,0,36.6,True,2025-07-18T12:54:34.464990
FRM000038,Farmer 38,+915547093322,8101 8674 7122,Uttar Pradesh,District 2,Village 73,22.140756,80.627725,2.25,maize,4.09,0.724,-0.13,33.7,0,35,23.0,0,29.2,True,2025-06-24T12:54:34.465423
FRM000039,Farmer 39,+912400986072,6895 3708 2750,Karnataka,District 5,Village 80,19.082177,79.672999,3.77,wheat,10.3,0.527,0.061,9.8,0,34,25.5,1,35.3,True,2025-05-11T12:54:34.465980
FRM000040,Farmer 40,+914682716136,4042 5497 2466,Punjab,District 10,Village 17,28.732324,72.441298,9.08,maize,34.18,0.681,-0.135,17.0,0,15,28.1,0,29.3,True,2025-11-11T12:54:34.466450
FRM000041,Farmer 41,+919162916126,3032 9436 1271,Uttar Pradesh,District 12,Village 10,19.781288,80.136588,5.83,cotton,18.55,0.787,0.009,-5.9,0,38,12.9,0,40.0,True,2024-12-01T12:54:34.466935
FRM000042,Farmer 42,+917394456771,8878 6690 8827,Karnataka,District 19,Village 74,21.416597,76.996246,7.46,maize,11.27,0.557,-0.061,35.3,0,36,6.1,0,49.4,True,2025-08-10T12:54:34.467462
FRM000043,Farmer 43,+911072257883,2933 2380 2290,Punjab,District 9,Village 56,18.903501,78.698223,2.59,wheat,5.59,0.729,-0.045,-44.2,1,48,18.0,0,27.2,True,2025-01-06T12:54:34.467851
FRM000044,Farmer 44,+919154401729,2591 7183 4930,Maharashtra,District 13,Village 33,18.896307,81.404461,5.03,cotton,8.32,0.769,-0.139,-17.1,0,10,7.2,0,19.9,True,2025-03-08T12:54:34.468176
FRM000045,Farmer 45,+918269946131,9780 1294 6343,Uttar Pradesh,District 13,Village 46,28.224557,84.497099,8.75,maize,20.63,0.387,-0.102,-16.6,0,41,7.6,1,11.1,True,2025-06-23T12:54:34.468490
FRM000046,Farmer 46,+914533313050,9073 3752 9213,Punjab,District 18,Village 50,20.882268,74.333465,6.5,rice,15.67,0.649,0.012,28.0,0,29,5.5,0,42.3,True,2025-02-28T12:54:34.468798
FRM000047,Farmer 47,+913028663135,6658 4778 3896,Karnataka,District 12,Village 56,21.688541,75.557147,4.74,maize,17.84,0.627,-0.035,-43.4,0,46,17.2,1,34.8,True,2025-08-25T12:54:34.469127
FRM000048,Farmer 48,+917804713624,6655 5473 3946,Karnataka,District 14,Village 15,24.775002,76.790842,9.14,rice,41.14,0.83,0.078,-5.8,0,37,10.7,0,3.5,True,2025-06-25T12:54:34.469441
FRM000049,Farmer 49,+911580587527,7731 4117 6791,Punjab,District 15,Village 80,15.174308,72.94181,6.27,wheat,14.84,0.607,-0.082,-33.9,0,1,24.9,0,23.9,True,2025-01-19T12:54:34.469753
FRM000050,Farmer 50,+919911960725,3056 7917 4144,Maharashtra,District 7,Village 95,19.831421,84.707063,7.17,wheat,24.81,0.305,-0.052,1.8,0,12,7.1,1,19.2,True,2025-10-15T12:54:34.470065
FRM000051,Farmer 51,+919156829263,5780 2927 3356,Maharashtra,District 19,Village 44,22.213557,72.529803,8.77,wheat,35.09,0.741,-0.048,31.5,0,19,18.8,0,39.6,True,2025-09-04T12:54:34.470372
FRM000052,Farmer 52,+919734337102,5703 7563 6631,Haryana,District 4,Village 66,17.6129,84.490147,6.71,wheat,17.86,0.598,-0.002,-41.8,0,28,15.5,0,42.3,True,2024-12-25T12:54:34.470830
FRM000053,Farmer 53,+919164458576,4155 9321 4814,Maharashtra,District 6,Village 17,21.079653,79.82412,4.51,wheat,11.13,0.626,0.124,-28.9,0,39,25.9,0,39.2,True,2024-12-15T12:54:34.471377
FRM000054,Farmer 54,+918043708538,4178 7052 3734,Maharashtra,District 5,Village 76,19.96334,77.834108,2.95,rice,11.21,0.479,0.082,-36.9,1,46,10.9,1,23.2,True,2025-06-13T12:54:34.471793
FRM000055,Farmer 55,+915444002934,3289 2239 6370,Punjab,District 11,Village 98,15.590153,73.587429,7.2,rice,22.05,0.775,0.017,4.0,0,13,6.4,0,47.0,True,2025-04-22T12:54:34.472330
FRM000056,Farmer 56,+916754510669,7089 7257 8705,Karnataka,District 8,Village 47,17.435728,74.448538,8.75,wheat,27.04,0.584,-0.003,16.7,0,44,8.6,1,37.2,True,2025-04-07T12:54:34.473067
FRM000057,Farmer 57,+918088848315,2667 5114 4553,Maharashtra,District 18,Village 13,29.991206,72.626757,1.57,rice,6.75,0.805,0.03,44.1,0,47,21.3,0,33.6,True,2025-02-19T12:54:34.474018
FRM000058,Farmer 58,+912592791824,7471 3863 2177,Karnataka,District 12,Village 5,23.947282,79.09393,8.27,cotton,15.88,0.599,-0.148,-17.5,0,6,19.1,0,28.3,True,2025-01-25T12:54:34.474803
FRM000059,Farmer 59,+912345213432,8311 1105 6539,Maharashtra,District 18,Village 2,28.470458,75.16527,5.03,rice,14.48,0.602,0.074,21.5,0,20,9.9,0,33.1,True,2025-09-09T12:54:34.476203
FRM000060,Farmer 60,+910796554589,5616 1009 6752,Haryana,District 10,Village 72,22.253185,82.477903,1.66,maize,3.54,0.675,-0.096,2.5,0,48,19.2,0,48.2,True,2025-06-26T12:54:34.476917
FRM000061,Farmer 61,+911064054269,2100 7652 9632,Punjab,District 2,Village 64,17.294757,75.058063,2.75,maize,11.64,0.451,0.097,-7.6,0,17,24.2,0,22.3,True,2025-02-07T12:54:34.477458
FRM000062,Farmer 62,+917403287058,1707 2804 7704,Karnataka,District 2,Village 60,19.11241,73.032452,6.92,cotton,21.1,0.545,0.067,-48.4,0,45,7.6,1,29.8,True,2025-11-20T12:54:34.477881
FRM000063,Farmer 63,+913759348698,4083 4719 8123,Uttar Pradesh,District 3,Village 16,23.366751,81.498457,6.58,maize,16.12,0.626,0.054,-26.9,0,21,21.7,1,33.8,True,2025-10-26T12:54:34.478325
FRM000064,Farmer 64,+915313061184,3817 3496 6962,Maharashtra,District 3,Village 52,16.915702,82.738879,9.75,rice,15.32,0.705,0.081,-25.6,0,19,20.6,0,38.3,True,2025-05-19T12:54:34.478641
FRM000065,Farmer 65,+919526384211,3978 8373 6907,Haryana,District 18,Village 10,24.419251,80.765949,6.21,cotton,20.51,0.806,-0.001,49.2,0,41,17.5,0,27.9,True,2025-10-31T12:54:34.478934
FRM000066,Farmer 66,+913833151622,7488 5737 7525,Punjab,District 11,Village 50,16.826429,78.217042,5.05,wheat,13.13,0.634,-0.108,39.8,0,2,28.8,1,34.0,True,2025-03-17T12:54:34.479262
FRM000067,Farmer 67,+913335614326,2549 7140 4716,Punjab,District 2,Village 62,27.209554,79.997853,4.59,cotton,9.62,0.341,0.085,-23.5,0,15,6.6,0,49.8,True,2025-04-20T12:54:34.479630
FRM000068,Farmer 68,+914364931317,8394 4493 7164,Karnataka,District 10,Village 13,20.571129,75.456065,7.72,rice,15.29,0.594,-0.085,-48.8,0,20,10.0,0,4.0,True,2025-08-04T12:54:34.479917
FRM000069,Farmer 69,+910672406477,4456 8788 9599,Punjab,District 3,Village 24,28.426766,80.276706,6.76,rice,32.44,0.745,-0.127,-22.1,0,39,16.5,1,33.6,True,2025-11-08T12:54:34.480165
FRM000070,Farmer 70,+919507788112,2827 7979 9569,Maharashtra,District 18,Village 10,27.458017,72.893267,7.51,rice,20.54,0.463,-0.045,27.5,0,27,13.9,0,28.4,True,2025-06-29T12:54:34.480400
FRM000071,Farmer 71,+919815334207,6341 1038 5875,Maharashtra,District 9,Village 47,18.369234,76.838171,5.01,maize,9.51,0.567,0.126,2.1,0,33,8.2,0,46.5,True,2025-11-07T12:54:34.480636
FRM000072,Farmer 72,+914312675407,9706 9894 2653,Karnataka,District 19,Village 23,25.919208,73.403268,2.6,rice,12.8,0.712,0.017,-31.9,0,21,23.8,0,27.9,True,2025-10-26T12:54:34.480880
FRM000073,Farmer 73,+918946188335,3649 9505 4083,Maharashtra,District 17,Village 78,28.197247,80.548284,6.54,cotton,27.25,0.388,-0.012,-49.1,0,4,27.0,0,11.3,True,2025-11-11T12:54:34.481229
FRM000074,Farmer 74,+915457649538,6036 3563 4292,Haryana,District 14,Village 3,18.258136,73.791698,7.71,rice,29.86,0.716,0.103,-3.0,0,3,14.6,1,39.5,True,2025-04-23T12:54:34.481574
FRM000075,Farmer 75,+915432360601,1830 2651 2136,Haryana,District 15,Village 75,20.013575,82.203661,5.83,rice,20.2,0.632,0.053,30.5,0,18,17.5,0,4.8,True,2025-01-16T12:54:34.481909
FRM000076,Farmer 76,+912055024292,6017 8999 7052,Karnataka,District 17,Village 21,23.483249,84.735407,2.15,maize,8.02,0.573,-0.097,18.6,2,10,23.5,1,11.7,True,2025-09-12T12:54:34.482237
FRM000077,Farmer 77,+917834795626,4291 9461 1631,Karnataka,District 10,Village 80,17.030311,81.767876,7.21,maize,26.73,0.327,0.121,40.9,0,35,24.1,0,31.3,True,2025-05-27T12:54:34.482571
FRM000078,Farmer 78,+911737649978,5260 3361 7164,Haryana,District 18,Village 69,20.21015,83.697833,8.53,cotton,20.79,0.386,0.106,-45.3,0,42,8.5,0,21.7,True,2025-07-17T12:54:34.482913
FRM000079,Farmer 79,+910719865001,2517 4648 2537,Haryana,District 16,Village 57,27.759241,79.295896,2.32,cotton,6.22,0.47,0.134,46.7,0,32,8.8,0,14.0,True,2025-09-20T12:54:34.483273
FRM000080,Farmer 80,+919335774538,7823 3105 4867,Haryana,District 17,Village 63,20.096662,83.337764,8.69,wheat,27.03,0.712,-0.063,28.7,0,9,29.5,1,25.9,True,2025-09-20T12:54:34.483612
FRM000081,Farmer 81,+918344768719,7971 4525 3822,Uttar Pradesh,District 16,Village 3,17.800849,73.222469,9.14,rice,30.93,0.574,-0.118,15.7,0,49,7.3,0,11.4,True,2025-03-11T12:54:34.483934
FRM000082,Farmer 82,+916064413596,4711 9004 7274,Haryana,District 1,Village 68,16.251961,83.471413,2.1,cotton,6.89,0.629,-0.14,-13.6,0,47,8.8,0,31.5,True,2025-02-17T12:54:34.484256
FRM000083,Farmer 83,+914715294790,2715 7450 6433,Haryana,District 11,Village 57,27.324553,77.970448,2.49,maize,7.05,0.835,-0.049,-20.4,0,5,22.8,0,24.6,True,2025-02-19T12:54:34.484576
FRM000084,Farmer 84,+910766239854,7370 1948 9179,Punjab,District 14,Village 76,17.50698,80.518671,8.49,maize,26.75,0.839,0.04,-37.4,0,1,12.9,0,34.7,True,2025-10-17T12:54:34.484895
FRM000085,Farmer 85,+913087795658,5178 8789 3946,Uttar Pradesh,District 10,Village 19,23.199723,76.945207,1.06,rice,4.93,0.658,0.112,-50.0,0,33,16.2,0,43.5,True,2025-05-08T12:54:34.485211
FRM000086,Farmer 86,+910738428833,1987 8804 8789,Maharashtra,District 9,Village 55,18.949737,72.599606,9.83,maize,36.11,0.608,0.038,3.3,0,13,10.5,0,5.3,True,2025-11-09T12:54:34.485554
FRM000087,Farmer 87,+913201707675,7317 1526 7748,Punjab,District 8,Village 21,16.407859,83.825149,3.21,rice,9.64,0.447,0.087,7.3,0,47,25.8,0,7.5,True,2025-01-22T12:54:34.485932
FRM000088,Farmer 88,+916555810597,4451 8616 3800,Maharashtra,District 3,Village 40,26.153909,78.581459,7.99,wheat,29.89,0.672,-0.11,-26.6,0,2,21.3,1,30.8,True,2025-07-06T12:54:34.486369
FRM000089,Farmer 89,+915887408074,3866 1182 4112,Karnataka,District 7,Village 13,23.58073,78.66468,5.01,cotton,17.86,0.595,0.106,-45.1,0,19,7.7,0,40.5,True,2025-05-17T12:54:34.486776
FRM000090,Farmer 90,+917866031113,1989 4744 9611,Uttar Pradesh,District 18,Village 19,29.325908,82.675578,4.78,cotton,22.72,0.391,-0.033,23.0,0,44,20.2,0,41.5,True,2025-03-31T12:54:34.487053
FRM000091,Farmer 91,+918623541527,7401 5008 3466,Maharashtra,District 11,Village 65,24.541441,83.87273,9.05,maize,26.39,0.477,0.075,-8.7,0,9,14.0,0,2.5,True,2025-01-18T12:54:34.487311
FRM000092,Farmer 92,+919122867985,2635 5000 4361,Haryana,District 5,Village 7,19.130718,75.982075,9.15,rice,39.59,0.419,-0.01,31.7,0,20,22.3,0,34.3,True,2025-05-13T12:54:34.487599
FRM000093,Farmer 93,+913750301477,1442 7218 5652,Punjab,District 4,Village 26,27.707092,78.904109,3.79,rice,7.73,0.314,0.044,13.7,0,30,24.8,0,6.9,True,2025-06-23T12:54:34.487845
FRM000094,Farmer 94,+911803053448,3352 2932 9556,Uttar Pradesh,District 19,Village 3,22.110096,77.77366,4.19,wheat,8.62,0.313,0.077,-4.1,0,36,25.9,0,20.0,True,2025-10-14T12:54:34.488250
FRM000095,Farmer 95,+912021758792,3567 2307 9848,Karnataka,District 5,Village 36,24.393515,78.355672,2.35,wheat,4.0,0.488,-0.069,46.6,0,0,19.5,0,23.3,True,2025-07-01T12:54:34.488972
FRM000096,Farmer 96,+912293569350,9125 3454 5494,Uttar Pradesh,District 11,Village 64,15.516919,84.6049,9.14,cotton,36.81,0.593,0.111,-36.9,0,27,6.4,1,24.4,True,2025-03-21T12:54:34.489462
FRM000097,Farmer 97,+910072524615,4420 6845 5778,Haryana,District 3,Village 54,27.80943,77.708948,7.39,cotton,34.24,0.551,-0.017,10.2,0,6,28.9,0,7.2,True,2025-01-31T12:54:34.489858
FRM000098,Farmer 98,+913840477480,4747 4175 5897,Karnataka,District 14,Village 78,15.034763,72.574105,3.91,maize,16.86,0.453,-0.087,45.7,0,18,10.0,1,6.3,True,2025-03-10T12:54:34.490230
FRM000099,Farmer 99,+911197162767,4965 6686 4701,Uttar Pradesh,District 7,Village 53,26.917733,81.192124,3.81,wheat,7.2,0.745,0.134,-42.8,1,37,12.5,0,26.0,True,2025-02-03T12:54:34.490791
FRM000100,Farmer 100,+913113475367,6585 7046 5945,Punjab,District 2,Village 75,27.32148,79.210546,6.58,rice,32.44,0.632,-0.043,14.8,0,16,23.0,1,23.8,True,2024-11-29T12:54:34.491185
FRM000101,Farmer 101,+918028133122,3224 9389 7091,Punjab,District 19,Village 37,29.106728,73.075301,3.52,maize,5.28,0.581,-0.136,-22.4,0,22,19.6,0,18.3,True,2025-05-23T12:54:34.491539
FRM000102,Farmer 102,+918432249045,6423 3587 6672,Haryana,District 3,Village 47,29.261591,81.133027,5.86,cotton,27.89,0.764,0.053,-36.1,0,42,21.7,1,38.5,True,2025-07-02T12:54:34.491889
FRM000103,Farmer 103,+916187763125,4220 1539 2461,Uttar Pradesh,District 1,Village 21,24.715698,82.351128,4.01,maize,6.76,0.722,-0.025,32.2,0,15,14.3,1,37.1,True,2025-03-18T12:54:34.492240
FRM000104,Farmer 104,+918250537839,4259 4923 5214,Uttar Pradesh,District 16,Village 47,16.865526,77.377355,6.84,cotton,29.95,0.73,0.013,-40.0,0,12,14.5,0,2.9,True,2025-08-13T12:54:34.492575
FRM000105,Farmer 105,+914363287068,9835 9386 9680,Haryana,District 2,Village 98,22.769408,76.525243,8.64,maize,30.37,0.342,-0.035,-13.2,0,6,5.4,0,39.1,True,2025-05-04T12:54:34.492910
FRM000106,Farmer 106,+916989892477,6102 8006 4483,Maharashtra,District 11,Village 65,18.074718,81.433154,5.0,cotton,8.51,0.827,0.133,28.5,2,49,21.1,0,39.3,True,2025-10-07T12:54:34.493265
FRM000107,Farmer 107,+911944555192,6085 6637 2116,Maharashtra,District 8,Village 44,17.014123,84.453144,3.7,cotton,14.96,0.596,-0.132,19.0,0,49,5.2,1,23.5,True,2025-04-04T12:54:34.493624
FRM000108,Farmer 108,+914812665519,1619 1882 9988,Punjab,District 2,Village 17,29.717156,79.404017,1.8,maize,8.98,0.59,-0.032,15.9,0,3,28.8,1,36.2,True,2025-08-10T12:54:34.494225
FRM000109,Farmer 109,+915849349479,5967 3369 4638,Karnataka,District 8,Village 48,23.47628,82.03115,9.55,cotton,46.66,0.516,0.106,27.3,0,29,21.0,1,9.8,True,2025-08-26T12:54:34.494639
FRM000110,Farmer 110,+913422069013,5956 1692 4162,Karnataka,District 18,Village 68,22.22324,80.260767,2.84,wheat,8.25,0.792,-0.15,40.1,0,26,28.9,0,26.6,True,2025-08-03T12:54:34.494975
FRM000111,Farmer 111,+917242922666,7297 8812 5557,Haryana,District 4,Village 23,29.256888,79.56109,8.83,rice,43.38,0.315,0.102,25.2,0,0,9.4,1,15.6,True,2024-11-28T12:54:34.495309
FRM000112,Farmer 112,+917317793218,7614 4252 8415,Haryana,District 13,Village 69,21.141181,82.541422,2.44,maize,8.72,0.402,-0.051,35.5,0,26,6.7,1,26.3,True,2024-12-09T12:54:34.495633
FRM000113,Farmer 113,+913523846914,7680 1205 8352,Karnataka,District 16,Village 47,28.241016,72.674712,7.77,wheat,11.66,0.529,0.007,-44.5,1,6,10.1,0,23.0,True,2025-04-11T12:54:34.495950
FRM000114,Farmer 114,+913384450082,2104 8361 5199,Karnataka,District 15,Village 96,15.636334,75.44924,5.65,cotton,11.44,0.509,-0.026,25.4,0,33,24.5,0,47.7,True,2025-05-11T12:54:34.496285
FRM000115,Farmer 115,+916002933102,9234 2907 4490,Haryana,District 8,Village 78,26.470787,80.723719,7.43,rice,33.53,0.451,0.092,-30.5,0,5,21.6,0,7.7,True,2025-01-15T12:54:34.496601
FRM000116,Farmer 116,+912298336175,1882 5408 5068,Haryana,District 8,Village 7,16.777385,84.499673,4.66,rice,10.82,0.688,0.095,4.6,1,18,15.7,0,25.1,True,2025-05-03T12:54:34.496911
FRM000117,Farmer 117,+918457018254,9058 3606 8846,Uttar Pradesh,District 4,Village 33,24.319387,76.34265,8.58,maize,42.36,0.645,-0.076,-33.7,0,11,12.2,0,18.9,True,2025-07-07T12:54:34.497218
FRM000118,Farmer 118,+918419380062,7241 9399 6633,Uttar Pradesh,District 10,Village 38,29.560148,73.472946,7.96,maize,28.69,0.845,-0.052,44.1,0,7,6.7,0,10.6,True,2025-11-03T12:54:34.497526
FRM000119,Farmer 119,+919805831302,7409 5757 3994,Uttar Pradesh,District 16,Village 21,15.22666,84.5452,6.16,wheat,12.94,0.809,-0.129,-7.0,0,18,20.6,1,14.8,True,2025-03-22T12:54:34.497923
FRM000120,Farmer 120,+915509151234,8294 4676 3426,Maharashtra,District 9,Village 27,24.258735,81.612307,7.16,wheat,27.79,0.524,-0.145,8.3,0,35,28.5,0,36.8,True,2025-03-22T12:54:34.498239
FRM000121,Farmer 121,+911712901691,5370 6283 8610,Punjab,District 13,Village 46,18.216097,75.520482,5.7,maize,21.91,0.685,-0.089,15.4,0,46,23.5,0,13.9,True,2024-12-02T12:54:34.498553
FRM000122,Farmer 122,+911959731411,1062 8829 8352,Uttar Pradesh,District 13,Village 4,15.525119,82.235853,5.45,rice,9.49,0.504,0.126,8.4,0,48,26.6,1,43.3,True,2025-04-25T12:54:34.498859
FRM000123,Farmer 123,+911623223403,3187 3330 5841,Karnataka,District 13,Village 55,26.797836,84.252907,4.96,maize,7.93,0.416,-0.066,21.3,0,0,28.1,0,26.8,True,2025-01-27T12:54:34.499194
FRM000124,Farmer 124,+916062858463,2647 7038 6164,Karnataka,District 17,Village 85,22.823991,82.328313,3.6,maize,9.88,0.578,0.132,37.6,0,8,6.9,1,18.7,True,2025-07-14T12:54:34.499515
